"OTU","p.value","adj.p.value"
"ASV15",1,1
"ASV150",1,1
"ASV1500",1,1
"ASV1501",1,1
"ASV1502",1,1
"ASV1503",1,1
"ASV1504",1,1
"ASV1505",1,1
"ASV1506",1,1
"ASV1507",1,1
"ASV1508",1,1
"ASV151",1,1
"ASV1510",1,1
"ASV1511",1,1
"ASV1512",1,1
"ASV1515",1,1
"ASV152",1,1
"ASV1520",1,1
"ASV1521",1,1
"ASV1522",1,1
"ASV1523",1,1
"ASV1524",1,1
"ASV1526",1,1
"ASV1527",1,1
"ASV1528",1,1
"ASV1529",1,1
"ASV153",1,1
"ASV1530",1,1
"ASV1531",1,1
"ASV1532",1,1
"ASV1534",NA,NA
"ASV1537",1,1
"ASV1538",1,1
"ASV1539",NA,NA
"ASV154",NA,NA
"ASV1540",1,1
"ASV1541",1,1
"ASV1543",NA,NA
"ASV1544",1,1
"ASV1547",1,1
"ASV1548",1,1
"ASV1550",1,1
"ASV1551",1,1
"ASV1552",1,1
"ASV1553",NA,NA
"ASV1554",1,1
"ASV1555",1,1
"ASV1558",1,1
"ASV1559",1,1
"ASV156",1,1
"ASV1560",1,1
"ASV1561",1,1
"ASV1563",1,1
"ASV1565",1,1
"ASV1566",1,1
"ASV1568",1,1
"ASV1569",1,1
"ASV157",1,1
"ASV1570",1,1
"ASV1571",1,1
"ASV1572",1,1
"ASV1573",1,1
"ASV1575",1,1
"ASV1576",1,1
"ASV1579",1,1
"ASV158",1,1
"ASV1580",1,1
"ASV1581",1,1
"ASV1582",1,1
"ASV1583",1,1
"ASV1584",1,1
"ASV1585",1,1
"ASV1586",1,1
"ASV1587",1,1
"ASV1588",1,1
"ASV1589",NA,NA
"ASV159",1,1
"ASV1590",1,1
"ASV1592",1,1
"ASV1593",1,1
"ASV1594",1,1
"ASV1595",1,1
"ASV1596",1,1
"ASV1597",1,1
"ASV1598",NA,NA
"ASV1599",1,1
"ASV160",1,1
"ASV1600",1,1
"ASV1601",1,1
"ASV1602",1,1
"ASV1603",1,1
"ASV1604",NA,NA
"ASV1605",1,1
"ASV1607",1,1
"ASV1608",NA,NA
"ASV1609",NA,NA
"ASV161",1,1
"ASV1610",1,1
"ASV1611",NA,NA
"ASV1612",1,1
"ASV1614",1,1
"ASV1615",1,1
"ASV1616",1,1
"ASV1617",1,1
"ASV1618",1,1
"ASV162",1,1
"ASV1620",1,1
"ASV1621",1,1
"ASV1622",1,1
"ASV1624",NA,NA
"ASV1625",1,1
"ASV1626",1,1
"ASV1627",1,1
"ASV1628",1,1
"ASV1629",1,1
"ASV163",1,1
"ASV1630",1,1
"ASV1633",1,1
"ASV1634",1,1
"ASV1635",1,1
"ASV1636",1,1
"ASV1637",1,1
"ASV1639",1,1
"ASV1640",1,1
"ASV1641",1,1
"ASV1642",1,1
"ASV1643",1,1
"ASV1644",1,1
"ASV1646",NA,NA
"ASV1647",1,1
"ASV1648",1,1
"ASV1649",1,1
"ASV165",1,1
"ASV1650",1,1
"ASV1651",1,1
"ASV1652",1,1
"ASV1653",1,1
"ASV1654",1,1
"ASV1655",1,1
"ASV1657",NA,NA
"ASV1658",1,1
"ASV1659",1,1
"ASV166",1,1
"ASV1660",1,1
"ASV1661",1,1
"ASV1662",1,1
"ASV1663",1,1
"ASV1664",1,1
"ASV1665",1,1
"ASV1666",1,1
"ASV1667",1,1
"ASV1668",1,1
"ASV1669",1,1
"ASV167",1,1
"ASV1670",1,1
"ASV1671",1,1
"ASV1672",1,1
"ASV1673",1,1
"ASV1674",1,1
"ASV1675",1,1
"ASV1676",1,1
"ASV1677",1,1
"ASV1678",1,1
"ASV168",1,1
"ASV1680",1,1
"ASV1681",1,1
"ASV1682",1,1
"ASV1683",1,1
"ASV1684",1,1
"ASV1685",1,1
"ASV1686",1,1
"ASV1687",1,1
"ASV1688",1,1
"ASV169",1,1
"ASV1691",1,1
"ASV1692",1,1
"ASV1693",NA,NA
"ASV1694",NA,NA
"ASV1695",NA,NA
"ASV1696",1,1
"ASV1697",1,1
"ASV1698",1,1
"ASV1699",1,1
"ASV17",1,1
"ASV170",1,1
"ASV1700",1,1
"ASV1702",1,1
"ASV1704",1,1
"ASV1705",1,1
"ASV1706",1,1
"ASV1707",1,1
"ASV1708",1,1
"ASV1710",1,1
"ASV1711",1,1
"ASV1712",1,1
"ASV1713",1,1
"ASV1714",1,1
"ASV1715",1,1
"ASV1716",1,1
"ASV1717",1,1
"ASV1718",1,1
"ASV172",1,1
"ASV1720",1,1
"ASV1721",1,1
"ASV1722",1,1
"ASV1723",1,1
"ASV1724",1,1
"ASV1725",1,1
"ASV1726",1,1
"ASV1727",1,1
"ASV1728",1,1
"ASV1729",1,1
"ASV173",1,1
"ASV1730",1,1
"ASV1731",1,1
"ASV1732",1,1
"ASV1733",1,1
"ASV1734",1,1
"ASV1735",1,1
"ASV1736",1,1
"ASV1737",1,1
"ASV1738",1,1
"ASV1739",1,1
"ASV174",1,1
"ASV1740",1,1
"ASV1741",1,1
"ASV1742",1,1
"ASV1743",1,1
"ASV1744",1,1
"ASV1745",1,1
"ASV1746",1,1
"ASV1748",1,1
"ASV1749",1,1
"ASV175",1,1
"ASV1751",1,1
"ASV1753",1,1
"ASV1755",1,1
"ASV1756",NA,NA
"ASV1757",1,1
"ASV1758",1,1
"ASV1760",1,1
"ASV1763",1,1
"ASV1764",1,1
"ASV1765",1,1
"ASV1766",1,1
"ASV1767",1,1
"ASV1768",1,1
"ASV1769",NA,NA
"ASV177",1,1
"ASV1770",1,1
"ASV1771",1,1
"ASV1772",1,1
"ASV1773",1,1
"ASV1775",1,1
"ASV1776",1,1
"ASV1778",1,1
"ASV1779",1,1
"ASV178",1,1
"ASV1780",1,1
"ASV1781",1,1
"ASV1782",1,1
"ASV1783",NA,NA
"ASV1784",1,1
"ASV1785",NA,NA
"ASV1786",1,1
"ASV1787",1,1
"ASV1788",1,1
"ASV1789",1,1
"ASV1790",1,1
"ASV1791",1,1
"ASV1792",1,1
"ASV1793",NA,NA
"ASV1794",1,1
"ASV1796",1,1
"ASV1797",1,1
"ASV1798",1,1
"ASV1799",1,1
"ASV1800",1,1
"ASV1801",1,1
"ASV1803",1,1
"ASV1804",1,1
"ASV1805",1,1
"ASV1806",1,1
"ASV1807",1,1
"ASV1808",1,1
"ASV1809",1,1
"ASV181",NA,NA
"ASV1810",1,1
"ASV1811",1,1
"ASV1812",1,1
"ASV1813",1,1
"ASV1814",1,1
"ASV1815",1,1
"ASV1816",1,1
"ASV1817",1,1
"ASV1818",1,1
"ASV1819",1,1
"ASV182",1,1
"ASV1820",1,1
"ASV1822",1,1
"ASV1824",1,1
"ASV1825",1,1
"ASV1827",1,1
"ASV1828",NA,NA
"ASV1829",1,1
"ASV1830",1,1
"ASV1831",1,1
"ASV1832",1,1
"ASV1833",1,1
"ASV1834",NA,NA
"ASV1835",1,1
"ASV1836",1,1
"ASV184",NA,NA
"ASV1840",1,1
"ASV1841",NA,NA
"ASV1842",1,1
"ASV1843",1,1
"ASV1847",1,1
"ASV1848",1,1
"ASV1849",1,1
"ASV1850",NA,NA
"ASV1851",NA,NA
"ASV1852",1,1
"ASV1854",1,1
"ASV1855",1,1
"ASV1856",1,1
"ASV1857",1,1
"ASV1858",1,1
"ASV1859",1,1
"ASV186",1,1
"ASV1860",1,1
"ASV1862",1,1
"ASV1863",1,1
"ASV1864",1,1
"ASV1865",1,1
"ASV1866",1,1
"ASV1867",1,1
"ASV1868",1,1
"ASV1869",1,1
"ASV187",NA,NA
"ASV1870",1,1
"ASV1871",1,1
"ASV1872",1,1
"ASV1873",1,1
"ASV1874",1,1
"ASV1875",1,1
"ASV1876",1,1
"ASV1877",1,1
"ASV1878",1,1
"ASV1879",1,1
"ASV1880",1,1
"ASV1881",1,1
"ASV1882",1,1
"ASV1883",1,1
"ASV1884",1,1
"ASV1885",NA,NA
"ASV1886",1,1
"ASV1887",1,1
"ASV1888",1,1
"ASV1889",1,1
"ASV1890",1,1
"ASV1891",1,1
"ASV1892",1,1
"ASV1893",1,1
"ASV1894",1,1
"ASV1895",NA,NA
"ASV1896",1,1
"ASV1897",1,1
"ASV1898",1,1
"ASV1899",1,1
"ASV190",1,1
"ASV1900",NA,NA
"ASV1901",1,1
"ASV1902",1,1
"ASV1906",1,1
"ASV1907",1,1
"ASV1908",1,1
"ASV1909",1,1
"ASV191",1,1
"ASV1910",1,1
"ASV1911",NA,NA
"ASV1912",NA,NA
"ASV1913",1,1
"ASV1914",1,1
"ASV1915",1,1
"ASV1916",1,1
"ASV1917",1,1
"ASV1919",1,1
"ASV192",1,1
"ASV1920",1,1
"ASV1921",1,1
"ASV1923",1,1
"ASV1924",1,1
"ASV1925",1,1
"ASV1926",1,1
"ASV1929",1,1
"ASV193",1,1
"ASV1930",1,1
"ASV1931",1,1
"ASV1932",1,1
"ASV1933",1,1
"ASV1934",NA,NA
"ASV1935",1,1
"ASV1936",NA,NA
"ASV1937",NA,NA
"ASV1938",NA,NA
"ASV1939",1,1
"ASV194",1,1
"ASV1940",1,1
"ASV1941",NA,NA
"ASV1942",1,1
"ASV1943",1,1
"ASV1944",1,1
"ASV1945",1,1
"ASV1946",1,1
"ASV1947",1,1
"ASV1948",1,1
"ASV1949",1,1
"ASV195",1,1
"ASV1950",1,1
"ASV1951",1,1
"ASV1952",1,1
"ASV1953",1,1
"ASV1954",1,1
"ASV1955",NA,NA
"ASV1956",NA,NA
"ASV1957",1,1
"ASV196",1,1
"ASV1961",1,1
"ASV1962",1,1
"ASV1963",1,1
"ASV1964",1,1
"ASV1965",1,1
"ASV1968",1,1
"ASV1969",1,1
"ASV197",1,1
"ASV1971",1,1
"ASV1973",1,1
"ASV1975",1,1
"ASV1976",1,1
"ASV1977",1,1
"ASV1978",1,1
"ASV1981",1,1
"ASV1982",1,1
"ASV1983",1,1
"ASV1984",1,1
"ASV1986",1,1
"ASV1987",1,1
"ASV1988",1,1
"ASV1989",NA,NA
"ASV1990",1,1
"ASV1991",1,1
"ASV1992",1,1
"ASV1993",1,1
"ASV1995",1,1
"ASV1997",1,1
"ASV1998",1,1
"ASV1999",1,1
"ASV2",1,1
"ASV20",1,1
"ASV200",1,1
"ASV2000",1,1
"ASV2001",1,1
"ASV2002",NA,NA
"ASV2003",1,1
"ASV2004",1,1
"ASV2005",1,1
"ASV2006",1,1
"ASV2007",NA,NA
"ASV2008",NA,NA
"ASV2009",1,1
"ASV201",1,1
"ASV2010",1,1
"ASV2011",1,1
"ASV2012",1,1
"ASV2014",1,1
"ASV2015",1,1
"ASV2016",1,1
"ASV2017",1,1
"ASV2018",1,1
"ASV2019",1,1
"ASV202",1,1
"ASV2020",1,1
"ASV2021",1,1
"ASV2025",1,1
"ASV2026",1,1
"ASV2027",1,1
"ASV2028",1,1
"ASV203",1,1
"ASV2030",1,1
"ASV2031",1,1
"ASV2032",1,1
"ASV2033",1,1
"ASV2034",1,1
"ASV2036",1,1
"ASV2037",1,1
"ASV2038",1,1
"ASV204",1,1
"ASV2040",1,1
"ASV2041",1,1
"ASV2042",1,1
"ASV2043",1,1
"ASV2044",1,1
"ASV2045",1,1
"ASV2046",1,1
"ASV2047",1,1
"ASV2048",1,1
"ASV2049",NA,NA
"ASV2051",1,1
"ASV2053",1,1
"ASV2055",1,1
"ASV2056",NA,NA
"ASV2057",1,1
"ASV2058",1,1
"ASV2059",1,1
"ASV206",1,1
"ASV2060",1,1
"ASV2063",1,1
"ASV2064",1,1
"ASV2065",1,1
"ASV2066",1,1
"ASV2067",1,1
"ASV2068",1,1
"ASV2069",1,1
"ASV2070",1,1
"ASV2071",1,1
"ASV2072",1,1
"ASV2073",1,1
"ASV2074",NA,NA
"ASV2075",NA,NA
"ASV2076",1,1
"ASV2077",1,1
"ASV2078",NA,NA
"ASV2079",1,1
"ASV208",1,1
"ASV2080",1,1
"ASV2082",1,1
"ASV2083",NA,NA
"ASV2084",1,1
"ASV2085",1,1
"ASV2086",NA,NA
"ASV2087",1,1
"ASV2088",1,1
"ASV2089",1,1
"ASV209",1,1
"ASV2090",1,1
"ASV2091",1,1
"ASV2092",1,1
"ASV2093",1,1
"ASV2095",1,1
"ASV2097",1,1
"ASV2098",1,1
"ASV2099",1,1
"ASV21",NA,NA
"ASV2100",1,1
"ASV2102",1,1
"ASV2103",1,1
"ASV2104",1,1
"ASV2105",1,1
"ASV2106",1,1
"ASV2107",1,1
"ASV2108",NA,NA
"ASV2109",1,1
"ASV211",NA,NA
"ASV2112",1,1
"ASV2114",1,1
"ASV2115",1,1
"ASV2116",1,1
"ASV2117",1,1
"ASV2119",1,1
"ASV212",1,1
"ASV2120",1,1
"ASV2121",1,1
"ASV2122",1,1
"ASV2123",1,1
"ASV2124",1,1
"ASV2125",1,1
"ASV2127",1,1
"ASV2128",1,1
"ASV213",1,1
"ASV2131",1,1
"ASV2132",NA,NA
"ASV2133",1,1
"ASV2134",1,1
"ASV2135",1,1
"ASV2136",NA,NA
"ASV2137",1,1
"ASV2139",1,1
"ASV214",1,1
"ASV2140",1,1
"ASV2141",NA,NA
"ASV2142",1,1
"ASV2144",1,1
"ASV2145",1,1
"ASV2146",1,1
"ASV2147",1,1
"ASV2148",1,1
"ASV2149",1,1
"ASV215",1,1
"ASV2151",1,1
"ASV2152",1,1
"ASV2153",1,1
"ASV2154",1,1
"ASV2155",1,1
"ASV2156",1,1
"ASV2157",1,1
"ASV2158",1,1
"ASV2159",1,1
"ASV216",NA,NA
"ASV2161",1,1
"ASV2162",1,1
"ASV2163",1,1
"ASV2164",1,1
"ASV2165",1,1
"ASV2167",1,1
"ASV2168",1,1
"ASV2169",1,1
"ASV217",1,1
"ASV2170",1,1
"ASV2171",1,1
"ASV2172",NA,NA
"ASV2173",1,1
"ASV2174",1,1
"ASV2175",1,1
"ASV2176",1,1
"ASV2177",1,1
"ASV2179",1,1
"ASV218",NA,NA
"ASV2180",1,1
"ASV2181",1,1
"ASV2182",1,1
"ASV2183",1,1
"ASV2184",1,1
"ASV2185",1,1
"ASV2186",NA,NA
"ASV2187",1,1
"ASV2188",1,1
"ASV2189",1,1
"ASV2191",1,1
"ASV2192",1,1
"ASV2194",1,1
"ASV2195",1,1
"ASV2196",NA,NA
"ASV2197",1,1
"ASV2198",1,1
"ASV2199",1,1
"ASV22",NA,NA
"ASV2201",1,1
"ASV2202",1,1
"ASV2203",1,1
"ASV2204",1,1
"ASV2205",1,1
"ASV2206",1,1
"ASV2207",1,1
"ASV2208",1,1
"ASV221",1,1
"ASV2210",1,1
"ASV2211",1,1
"ASV2212",1,1
"ASV2214",1,1
"ASV2215",NA,NA
"ASV2216",NA,NA
"ASV2217",1,1
"ASV2218",1,1
"ASV2219",1,1
"ASV222",1,1
"ASV2220",1,1
"ASV2221",NA,NA
"ASV2222",1,1
"ASV2223",1,1
"ASV2225",NA,NA
"ASV2227",1,1
"ASV2228",1,1
"ASV2229",1,1
"ASV223",1,1
"ASV2231",1,1
"ASV2233",1,1
"ASV2234",1,1
"ASV2235",1,1
"ASV2236",1,1
"ASV2237",1,1
"ASV2239",1,1
"ASV2240",1,1
"ASV2241",1,1
"ASV2242",1,1
"ASV2243",1,1
"ASV2244",1,1
"ASV2245",1,1
"ASV2246",1,1
"ASV2247",1,1
"ASV2248",1,1
"ASV2249",1,1
"ASV2250",1,1
"ASV2251",1,1
"ASV2252",1,1
"ASV2253",1,1
"ASV2254",1,1
"ASV2256",1,1
"ASV2257",1,1
"ASV2258",1,1
"ASV2259",NA,NA
"ASV226",1,1
"ASV2260",1,1
"ASV2261",1,1
"ASV2262",1,1
"ASV2263",1,1
"ASV2264",1,1
"ASV2265",1,1
"ASV2266",1,1
"ASV2267",1,1
"ASV2268",1,1
"ASV2269",1,1
"ASV227",1,1
"ASV2270",1,1
"ASV2271",1,1
"ASV2273",1,1
"ASV2274",1,1
"ASV2275",1,1
"ASV2276",1,1
"ASV2277",1,1
"ASV2278",1,1
"ASV2279",1,1
"ASV228",1,1
"ASV2281",1,1
"ASV2282",1,1
"ASV2284",1,1
"ASV2285",1,1
"ASV2286",1,1
"ASV2287",1,1
"ASV2288",1,1
"ASV229",NA,NA
"ASV2290",1,1
"ASV2292",1,1
"ASV2293",1,1
"ASV2294",1,1
"ASV2295",1,1
"ASV2296",1,1
"ASV2297",1,1
"ASV2298",1,1
"ASV2299",1,1
"ASV230",1,1
"ASV2300",1,1
"ASV2301",1,1
"ASV2302",1,1
"ASV2303",1,1
"ASV2304",1,1
"ASV2305",1,1
"ASV2306",1,1
"ASV2307",1,1
"ASV2308",1,1
"ASV2310",1,1
"ASV2313",1,1
"ASV2315",1,1
"ASV2316",1,1
"ASV2317",1,1
"ASV2318",1,1
"ASV232",1,1
"ASV2320",1,1
"ASV2321",1,1
"ASV2322",1,1
"ASV2324",1,1
"ASV2325",1,1
"ASV2326",1,1
"ASV2327",1,1
"ASV2328",1,1
"ASV2329",1,1
"ASV233",NA,NA
"ASV2330",1,1
"ASV2331",1,1
"ASV2332",1,1
"ASV2333",1,1
"ASV2334",1,1
"ASV2335",NA,NA
"ASV2336",1,1
"ASV2337",1,1
"ASV2338",1,1
"ASV234",NA,NA
"ASV2341",1,1
"ASV2343",1,1
"ASV2344",1,1
"ASV2345",1,1
"ASV2346",1,1
"ASV2347",1,1
"ASV2348",1,1
"ASV2349",1,1
"ASV235",1,1
"ASV2350",1,1
"ASV2351",1,1
"ASV2353",1,1
"ASV2354",1,1
"ASV2355",1,1
"ASV2356",1,1
"ASV2359",1,1
"ASV236",1,1
"ASV2360",1,1
"ASV2362",1,1
"ASV2364",1,1
"ASV2365",1,1
"ASV2368",1,1
"ASV2369",1,1
"ASV237",1,1
"ASV2370",1,1
"ASV2371",1,1
"ASV2372",1,1
"ASV2373",1,1
"ASV2374",1,1
"ASV2376",1,1
"ASV2377",1,1
