"ASV","First_Identified_Taxa"
"ASV1","Genus: Catellicoccus"
"ASV54","Genus: 1174-901-12"
"ASV63","Streptococcus oralis"
"ASV87","Genus: Nocardioides"
"ASV106","Genus: Brevundimonas"
"ASV156","Genus: Acidiphilium"
